gameId,turnIdx,plyIdx,positionId,gnuColor,activeColor,dice1,dice2,legalMovesCount,teacherRank,teacherEquity,teacherSteps,featureHash,points,barActive,barOpponent,offActive,offOpponent,sideToMove,activePip,opponentPip
99ab1376-af91-4b99-8b92-ff101421995b,0,0,,black,black,4,1,2,1,5,undefined:point->point;undefined:point->point,866e1950,2|0|0|0|0|-5|0|-3|0|0|0|5|-5|0|0|0|3|0|5|0|0|0|0|-2,0,0,0,0,0,167,0
99ab1376-af91-4b99-8b92-ff101421995b,1,0,,white,white,6,5,2,1,13,undefined:point->point;undefined:point->point,a7f537b8,0|-1|0|0|-1|5|0|3|0|0|0|-5|5|0|0|0|-3|0|-5|0|0|0|0|2,0,0,0,0,1,167,0
99ab1376-af91-4b99-8b92-ff101421995b,2,0,,black,black,5,1,2,1,10,undefined:point->point;undefined:point->point,467edcf3,-1|-1|0|0|1|-4|0|-2|0|0|0|5|-5|0|0|0|3|0|5|0|0|0|0|-2,1,0,0,0,0,164,0
99ab1376-af91-4b99-8b92-ff101421995b,3,0,,white,white,2,5,2,1,10.5,undefined:point->point;undefined:point->point,1444e1de,1|1|0|0|-2|4|0|2|0|0|0|-5|5|0|0|0|-2|-1|-5|0|0|0|0|2,0,0,0,0,1,156,0
99ab1376-af91-4b99-8b92-ff101421995b,4,0,,black,black,4,2,2,1,13,undefined:point->point;undefined:point->point,30b5dada,-2|-1|0|-1|2|-2|0|-2|0|0|0|5|-5|0|0|0|2|1|5|0|0|0|0|-2,0,0,0,0,0,158,0
99ab1376-af91-4b99-8b92-ff101421995b,5,0,,white,white,2,2,4,1,15,undefined:point->point;undefined:point->point;undefined:point->point;undefined:point->point,183d7532,2|1|0|1|0|2|-1|2|-1|0|0|-5|5|0|0|0|-2|-1|-5|0|0|0|0|2,0,0,0,0,1,149,0
99ab1376-af91-4b99-8b92-ff101421995b,6,0,,black,black,5,3,2,1,8,undefined:point->point;undefined:point->point,b0471e15,-2|-3|0|-1|0|0|1|-2|1|0|0|5|-5|0|0|0|2|1|5|0|0|0|0|-2,0,0,0,0,0,152,0
99ab1376-af91-4b99-8b92-ff101421995b,7,0,,white,white,1,2,2,1,3,undefined:point->point;undefined:point->point,8ac5b233,2|3|0|1|0|0|0|2|0|0|0|-7|5|0|0|0|-2|-1|-5|0|0|0|0|2,0,0,0,0,1,141,0
99ab1376-af91-4b99-8b92-ff101421995b,8,0,,black,black,5,3,2,1,8,undefined:point->point;undefined:point->point,798ee43a,-3|-3|0|0|0|0|0|-2|0|0|0|7|-5|0|0|0|2|1|5|0|0|0|0|-2,0,0,0,0,0,144,0
99ab1376-af91-4b99-8b92-ff101421995b,9,0,,white,white,1,2,2,1,3,undefined:point->point;undefined:point->point,9a1cfdfc,3|3|0|0|0|0|0|2|0|0|0|-5|5|0|-1|0|-3|-1|-5|0|0|0|0|2,0,0,0,0,1,138,0
99ab1376-af91-4b99-8b92-ff101421995b,10,0,,black,black,5,2,2,1,10.5,undefined:point->point;undefined:point->point,4c4770b0,-4|-2|0|0|0|-1|0|-1|0|0|0|5|-5|0|1|0|3|1|5|0|0|0|0|-2,0,0,0,0,0,136,0
99ab1376-af91-4b99-8b92-ff101421995b,11,0,,white,white,2,6,2,1,11.5,undefined:point->point;undefined:point->point,ee41bf32,4|2|0|0|0|1|0|1|0|0|0|-3|5|-1|-1|0|-4|-1|-5|0|0|0|0|2,0,0,0,0,1,135,0
99ab1376-af91-4b99-8b92-ff101421995b,12,0,,black,black,4,1,2,1,5,undefined:point->point;undefined:point->point,2955a7f,-4|-3|0|-1|0|0|0|0|0|0|0|3|-5|1|1|0|4|1|5|0|0|0|0|-2,0,0,0,0,0,129,0
99ab1376-af91-4b99-8b92-ff101421995b,13,0,,white,white,1,5,2,1,6,undefined:point->point;undefined:point->point,770b6250,4|3|0|1|0|0|0|0|0|0|0|-2|5|0|-2|-1|-4|-1|-5|0|0|0|0|2,0,0,0,0,1,127,0
99ab1376-af91-4b99-8b92-ff101421995b,14,0,,black,black,5,6,2,1,12.5,undefined:point->point;undefined:point->point,b5f7b3d6,-5|-2|0|-1|0|0|0|-1|0|0|0|2|-4|0|2|1|4|1|5|0|0|0|0|-2,0,0,0,0,0,124,0
99ab1376-af91-4b99-8b92-ff101421995b,15,0,,white,white,1,1,4,1,7,undefined:point->point;undefined:point->point;undefined:point->point;undefined:point->point,ba94bf9,5|2|0|1|0|0|0|1|0|0|0|0|4|0|-2|-1|-5|-2|-5|0|0|0|0|2,0,0,0,0,1,121,0
99ab1376-af91-4b99-8b92-ff101421995b,16,0,,black,black,1,5,2,1,9.5,undefined:point->point;undefined:point->point,6eedba3c,-7|-1|0|0|0|0|0|-1|0|0|0|0|-4|0|2|1|5|2|5|0|0|0|0|-2,0,0,0,0,0,113,0
99ab1376-af91-4b99-8b92-ff101421995b,17,0,,white,white,1,3,2,1,4,undefined:point->point;undefined:point->point,e4f781db,7|1|0|0|0|0|0|1|0|0|0|0|4|0|0|-2|-5|-2|-5|-1|0|0|0|2,0,0,0,0,1,117,0
99ab1376-af91-4b99-8b92-ff101421995b,18,0,,black,black,2,4,2,1,6,undefined:point->point;undefined:point->point,1c73417d,-8|0|0|0|-1|0|0|0|0|0|0|0|-4|0|0|2|5|2|5|1|0|0|0|-2,0,0,0,0,0,107,0
99ab1376-af91-4b99-8b92-ff101421995b,19,0,,white,white,5,1,2,1,6,undefined:point->point;undefined:point->point,e73df89e,8|0|0|0|1|0|0|0|0|0|0|0|4|0|0|0|-5|-3|-5|-2|0|0|0|2,0,0,0,0,1,113,0
99ab1376-af91-4b99-8b92-ff101421995b,20,0,,black,black,5,6,2,1,12.5,undefined:point->point;undefined:point->point,e9eaab93,-8|0|0|-1|0|0|0|-1|0|0|0|0|-3|0|0|0|5|3|5|2|0|0|0|-2,0,0,0,0,0,101,0
99ab1376-af91-4b99-8b92-ff101421995b,21,0,,white,white,4,3,2,1,10.5,undefined:point->point;undefined:point->point,23db2dd,8|0|0|1|0|0|0|1|0|0|0|0|3|0|0|0|-3|-3|-5|-2|0|-1|-1|2,0,0,0,0,1,107,0
99ab1376-af91-4b99-8b92-ff101421995b,22,0,,black,black,4,4,4,1,22.5,undefined:point->point;undefined:point->point;undefined:point->point;undefined:point->point,9fb3b6fb,-9|0|0|-1|0|0|0|0|0|0|0|0|-3|0|0|0|3|3|5|2|0|1|1|-2,0,0,0,0,0,90,0
99ab1376-af91-4b99-8b92-ff101421995b,23,0,,white,white,1,1,4,1,5.5,undefined:point->point;undefined:point->point;undefined:point->point;undefined:point->point,a6cd0c78,9|0|0|1|0|0|0|0|0|0|0|0|3|0|0|0|0|-2|-5|-2|-3|-2|-1|2,0,0,0,0,1,100,0
99ab1376-af91-4b99-8b92-ff101421995b,24,0,,black,black,5,4,2,1,10.5,undefined:point->point;undefined:point->point,9e3feb81,-10|0|0|0|0|0|0|0|0|0|0|-1|-2|0|0|0|0|2|5|2|3|2|1|-2,0,0,0,0,0,74,0
99ab1376-af91-4b99-8b92-ff101421995b,25,0,,white,white,3,5,2,1,8,undefined:point->point;undefined:point->point,8f20b7aa,10|0|0|0|0|0|0|0|0|0|0|1|2|0|0|0|0|0|-5|-2|-3|-3|-2|2,0,0,0,0,1,96,0
99ab1376-af91-4b99-8b92-ff101421995b,26,0,,black,black,3,4,2,1,7,undefined:point->point;undefined:point->point,b2c77e07,-10|0|0|-1|0|0|0|0|0|0|0|0|-2|0|0|0|0|0|5|2|3|3|2|-2,0,0,0,0,0,65,0
99ab1376-af91-4b99-8b92-ff101421995b,27,0,,white,white,3,1,2,1,4,undefined:point->point;undefined:point->point,b7b7b0e,10|0|0|1|0|0|0|0|0|0|0|0|2|0|0|0|0|0|-3|-2|-3|-4|-3|2,0,0,0,0,1,88,0
99ab1376-af91-4b99-8b92-ff101421995b,28,0,,black,black,2,1,2,1,4.5,undefined:point->point;undefined:point->point,14f2f6c1,-11|0|0|0|0|0|0|0|0|0|0|-1|-1|0|0|0|0|0|3|2|3|4|3|-2,0,0,0,0,0,58,0
99ab1376-af91-4b99-8b92-ff101421995b,29,0,,white,white,3,1,2,1,4,undefined:point->point;undefined:point->point,50031968,11|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|-1|-3|-4|-4|-3|2,0,0,0,0,1,84,0
99ab1376-af91-4b99-8b92-ff101421995b,30,0,,black,black,3,4,2,1,7,undefined:point->point;undefined:point->point,855da5c1,-11|0|0|0|0|0|0|-1|0|0|0|0|-1|0|0|0|0|0|1|3|4|4|3|-2,0,0,0,0,0,55,0
99ab1376-af91-4b99-8b92-ff101421995b,31,0,,white,white,1,1,4,1,4,undefined:point->point;undefined:point->point;undefined:point->point;undefined:point->point,3875e661,11|0|0|0|0|0|0|1|0|0|0|0|1|0|0|0|0|0|0|-3|-3|-5|-3|2,0,0,0,1,1,80,0
99ab1376-af91-4b99-8b92-ff101421995b,32,0,,black,black,2,5,2,1,7,undefined:point->point;undefined:point->point,6cb3e67,-11|0|0|-1|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|3|3|5|3|-2,0,0,1,0,0,48,0
99ab1376-af91-4b99-8b92-ff101421995b,33,0,,white,white,4,3,2,1,7,undefined:point->point;undefined:point->point,aa88a2c4,11|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|-1|-3|-6|-3|2,0,0,0,2,1,76,0
99ab1376-af91-4b99-8b92-ff101421995b,34,0,,black,black,2,5,2,1,7,undefined:point->point;undefined:point->point,d5d5b30a,-12|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|1|3|6|3|-2,0,0,2,0,0,41,0
99ab1376-af91-4b99-8b92-ff101421995b,35,0,,white,white,4,3,2,1,7,undefined:point->point;undefined:point->point,a4c0908b,12|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|-2|-7|-3|2,0,0,0,3,1,69,0
99ab1376-af91-4b99-8b92-ff101421995b,36,0,,black,black,4,1,2,1,5,undefined:point->point;undefined:point->point,6d5165a8,-12|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|7|3|-2,0,0,3,0,0,35,0
99ab1376-af91-4b99-8b92-ff101421995b,37,0,,white,white,6,6,4,1,25.5,undefined:point->point;undefined:point->point;undefined:point->point;undefined:point->point,7f71018b,12|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-8|-3|2,0,0,0,4,1,62,0
99ab1376-af91-4b99-8b92-ff101421995b,38,0,,black,black,1,5,2,1,6,undefined:point->point;undefined:point->point,43051f8c,-12|-1|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|-1|0|0|0|8|3|0,0,0,4,0,0,30,0
99ab1376-af91-4b99-8b92-ff101421995b,39,0,,white,white,4,3,2,1,10.5,undefined:point->point;undefined:point->point,ce397e46,12|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|-6|-4|0,0,0,0,5,1,38,0
99ab1376-af91-4b99-8b92-ff101421995b,40,0,,black,black,1,3,2,1,4,undefined:point->point;undefined:point->point,e8b66b8d,-12|-2|0|0|0|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|6|4|0,0,0,5,0,0,26,0
99ab1376-af91-4b99-8b92-ff101421995b,41,0,,white,white,4,4,4,1,19,undefined:point->point;undefined:point->point;undefined:point->point;undefined:point->OFF,f7393903,12|2|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|-4|-5|0,0,0,0,6,1,31,0
99ab1376-af91-4b99-8b92-ff101421995b,42,0,,black,black,4,2,2,1,12,undefined:point->OFF;undefined:point->OFF,e9e3b604,-12|-2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|5|0,0,0,6,1,0,22,0
99ab1376-af91-4b99-8b92-ff101421995b,43,0,,white,white,3,6,2,1,12,undefined:point->OFF;undefined:point->OFF,f043dbed,12|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-2|-5|-1,0,0,1,7,1,16,0
99ab1376-af91-4b99-8b92-ff101421995b,44,0,,black,black,6,1,2,1,10,undefined:point->OFF;undefined:point->OFF,d376cc6e,-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|5|1,0,0,7,3,0,17,0
99ab1376-af91-4b99-8b92-ff101421995b,45,0,,white,white,3,5,2,1,10,undefined:point->OFF;undefined:point->OFF,286c6e0d,12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-6|-1,0,0,3,8,1,12,0
99ab1376-af91-4b99-8b92-ff101421995b,46,0,,black,black,4,6,2,1,10,undefined:point->OFF;undefined:point->OFF,7e221ee1,-10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|6|1,0,0,8,5,0,13,0
99ab1376-af91-4b99-8b92-ff101421995b,47,0,,white,white,5,5,4,1,20,undefined:point->OFF;undefined:point->OFF;undefined:point->OFF;undefined:point->OFF,d2277d54,10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-4|-1,0,0,5,10,1,10,0
99ab1376-af91-4b99-8b92-ff101421995b,48,0,,black,black,1,6,2,1,10,undefined:point->OFF;undefined:point->OFF,848f3744,-6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|1,0,0,10,9,0,9,0
99ab1376-af91-4b99-8b92-ff101421995b,49,0,,white,white,4,3,2,1,10,undefined:point->OFF;undefined:point->OFF,202892c,6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-2|-2,0,0,9,11,1,6,0
99ab1376-af91-4b99-8b92-ff101421995b,50,0,,black,black,5,5,4,1,20,undefined:point->OFF;undefined:point->OFF;undefined:point->OFF;undefined:point->OFF,1de45ebc,-4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|2,0,0,11,11,0,6,0
